sessions,eventcount,totalusers,conversions,property_id,totalrevenue,sessionmedium,engagementrate,engagedsessions,eventspersession,userengagementduration,date
109,945,98,0,353783484,0,cpc,0.706422018,77,8.669724771,6464,04/08/23
416,2545,381,0,353783484,0,organic,0.625,260,6.117788462,30574,04/08/23
7,21,7,0,353783484,0,Pinpoint,0,0,3,0,04/08/23
9,30,9,0,353783484,0,referral,0.222222222,2,3.333333333,78,04/08/23
28,229,26,0,353783484,0,(none),0.642857143,18,8.178571429,2268,05/08/23
1,2,1,0,353783484,0,(not set),0,0,2,85,05/08/23
105,939,92,0,353783484,0,cpc,0.704761905,74,8.942857143,13235,05/08/23
339,1735,320,0,353783484,0,organic,0.675516224,229,5.1179941,21299,05/08/23
5,15,5,0,353783484,0,Pinpoint,0,0,3,0,05/08/23
9,33,9,0,353783484,0,referral,0.333333333,3,3.666666667,74,05/08/23
27,249,24,0,353783484,0,(none),0.592592593,16,9.222222222,2782,06/08/23
2,42,2,0,353783484,0,(not set),0,0,21,344,06/08/23
94,736,92,0,353783484,0,cpc,0.712765957,67,7.829787234,6054,06/08/23
285,1487,274,0,353783484,0,organic,0.680701754,194,5.21754386,18535,06/08/23
1,3,1,0,353783484,0,Pinpoint,0,0,3,0,06/08/23
15,52,15,0,353783484,0,referral,0.133333333,2,3.466666667,52,06/08/23
33,368,31,0,353783484,0,(none),0.484848485,16,11.15151515,2958,07/08/23
1,1,1,0,353783484,0,(not set),0,0,1,7,07/08/23
143,1603,128,0,353783484,0,cpc,0.79020979,113,11.20979021,16687,07/08/23
388,2302,359,0,353783484,0,organic,0.657216495,255,5.932989691,26220,07/08/23
1,3,1,0,353783484,0,Pinpoint,0,0,3,0,07/08/23
17,65,17,0,353783484,0,referral,0.235294118,4,3.823529412,64,07/08/23
66,498,57,0,353783484,0,(none),0.560606061,37,7.545454545,5669,08/08/23
2,3,2,0,353783484,0,(not set),0,0,1.5,355,08/08/23
146,1756,127,0,353783484,0,cpc,0.678082192,99,12.02739726,19499,08/08/23
410,2905,365,0,353783484,0,organic,0.687804878,282,7.085365854,38000,08/08/23
2,6,2,0,353783484,0,Pinpoint,0,0,3,0,08/08/23
24,113,21,0,353783484,0,referral,0.458333333,11,4.708333333,731,08/08/23
34,220,29,0,353783484,0,(none),0.5,17,6.470588235,1381,09/08/23
3,3,3,0,353783484,0,(not set),0,0,1,155,09/08/23
130,1044,107,0,353783484,0,cpc,0.661538462,86,8.030769231,9261,09/08/23
393,2220,353,0,353783484,0,organic,0.636132316,250,5.648854962,23742,09/08/23
3,9,3,0,353783484,0,Pinpoint,0,0,3,0,09/08/23
19,87,18,0,353783484,0,referral,0.210526316,4,4.578947368,315,09/08/23
51,647,44,0,353783484,0,(none),0.705882353,36,12.68627451,7111,10/08/23
3,12,3,0,353783484,0,(not set),0,0,4,104,10/08/23
138,1633,122,0,353783484,0,cpc,0.717391304,99,11.83333333,15917,10/08/23
373,2117,342,0,353783484,0,organic,0.632707775,236,5.675603217,25464,10/08/23
5,15,5,0,353783484,0,Pinpoint,0,0,3,0,10/08/23
20,105,17,0,353783484,0,referral,0.55,11,5.25,619,10/08/23
18,146,13,0,353783484,0,YouTubeVideo,0.722222222,13,8.111111111,1557,10/08/23
37,225,34,0,353783484,0,(none),0.621621622,23,6.081081081,1429,11/08/23
2,2,2,0,353783484,0,(not set),0,0,1,0,11/08/23
138,1303,117,0,353783484,0,cpc,0.768115942,106,9.442028986,13162,11/08/23
326,1734,308,0,353783484,0,organic,0.671779141,219,5.319018405,22274,11/08/23
7,21,7,0,353783484,0,Pinpoint,0,0,3,0,11/08/23
18,152,16,0,353783484,0,referral,0.444444444,8,8.444444444,1708,11/08/23
6,55,6,0,353783484,0,YouTubeVideo,0.5,3,9.166666667,324,11/08/23
29,210,28,0,353783484,0,(none),0.448275862,13,7.24137931,1374,12/08/23
3,9,3,0,353783484,0,(not set),0,0,3,288,12/08/23
118,1018,109,0,353783484,0,cpc,0.754237288,89,8.627118644,10570,12/08/23
315,1795,293,0,353783484,0,organic,0.688888889,217,5.698412698,23650,12/08/23
3,9,3,0,353783484,0,Pinpoint,0,0,3,0,12/08/23
21,90,19,0,353783484,0,referral,0.428571429,9,4.285714286,391,12/08/23
3,22,2,0,353783484,0,YouTubeVideo,1,3,7.333333333,70,12/08/23
32,222,28,0,353783484,0,(none),0.46875,15,6.9375,2040,13/08/23
1,1,1,0,353783484,0,(not set),0,0,1,16,13/08/23
103,849,94,0,353783484,0,cpc,0.689320388,71,8.242718447,8556,13/08/23
328,1885,312,0,353783484,0,organic,0.625,205,5.74695122,21026,13/08/23
4,12,4,0,353783484,0,Pinpoint,0,0,3,0,13/08/23
16,54,16,0,353783484,0,referral,0.25,4,3.375,136,13/08/23
5,124,3,0,353783484,0,YouTubeVideo,0.8,4,24.8,849,13/08/23
59,373,49,0,353783484,0,(none),0.525423729,31,6.322033898,2455,14/08/23
6,68,6,0,353783484,0,(not set),0,0,11.33333333,1238,14/08/23
176,1619,152,0,353783484,0,cpc,0.721590909,127,9.198863636,12449,14/08/23
372,1931,342,0,353783484,0,organic,0.658602151,245,5.190860215,22649,14/08/23
4,12,4,0,353783484,0,Pinpoint,0,0,3,0,14/08/23
28,104,27,0,353783484,0,referral,0.178571429,5,3.714285714,824,14/08/23
27,272,16,0,353783484,0,YouTubeVideo,0.703703704,19,10.07407407,2197,14/08/23
61,524,47,0,353783484,0,(none),0.639344262,39,8.590163934,3553,15/08/23
3,10,3,0,353783484,0,(not set),0,0,3.333333333,613,15/08/23
127,1015,112,0,353783484,0,cpc,0.708661417,90,7.992125984,8771,15/08/23
421,2302,388,0,353783484,0,organic,0.669833729,282,5.467933492,22665,15/08/23
4,12,4,0,353783484,0,Pinpoint,0,0,3,0,15/08/23
25,98,23,0,353783484,0,referral,0.32,8,3.92,315,15/08/23
16,139,13,0,353783484,0,YouTubeVideo,0.6875,11,8.6875,908,15/08/23
40,236,35,0,353783484,0,(none),0.475,19,5.9,2278,16/08/23
113,1086,97,0,353783484,0,cpc,0.707964602,80,9.610619469,11243,16/08/23
347,1724,318,0,353783484,0,organic,0.662824207,230,4.968299712,20661,16/08/23
5,15,5,0,353783484,0,Pinpoint,0,0,3,0,16/08/23
25,112,24,0,353783484,0,referral,0.24,6,4.48,982,16/08/23
15,187,8,0,353783484,0,YouTubeVideo,0.733333333,11,12.46666667,1620,16/08/23
36,213,33,0,353783484,0,(none),0.638888889,23,5.916666667,1296,17/08/23
1,1,1,0,353783484,0,(not set),0,0,1,19,17/08/23
128,1123,108,0,353783484,0,cpc,0.6484375,83,8.7734375,10748,17/08/23
330,1668,300,0,353783484,0,organic,0.593939394,196,5.054545455,20054,17/08/23
6,20,6,0,353783484,0,Pinpoint,0.166666667,1,3.333333333,231,17/08/23
20,67,20,0,353783484,0,referral,0.3,6,3.35,366,17/08/23
51,361,47,0,353783484,0,(none),0.411764706,21,7.078431373,4211,18/08/23
4,23,4,0,353783484,0,(not set),0,0,5.75,443,18/08/23
119,1160,104,0,353783484,0,cpc,0.722689076,86,9.74789916,9522,18/08/23
400,2216,361,0,353783484,0,organic,0.6125,245,5.54,23625,18/08/23
6,18,6,0,353783484,0,Pinpoint,0,0,3,0,18/08/23
24,87,21,0,353783484,0,referral,0.208333333,5,3.625,283,18/08/23
42,211,34,0,353783484,0,(none),0.523809524,22,5.023809524,2952,19/08/23
1,2,1,0,353783484,0,(not set),0,0,2,11,19/08/23
84,755,77,0,353783484,0,cpc,0.714285714,60,8.988095238,9207,19/08/23
323,1699,307,0,353783484,0,organic,0.653250774,211,5.26006192,19262,19/08/23
9,27,9,0,353783484,0,Pinpoint,0,0,3,0,19/08/23
17,86,17,0,353783484,0,referral,0.235294118,4,5.058823529,435,19/08/23
31,357,30,0,353783484,0,(none),0.580645161,18,11.51612903,3240,20/08/23
2,7,2,0,353783484,0,(not set),0,0,3.5,59,20/08/23
100,1218,91,0,353783484,0,cpc,0.78,78,12.18,12371,20/08/23
292,1635,276,0,353783484,0,organic,0.678082192,198,5.599315068,22348,20/08/23
4,12,4,0,353783484,0,Pinpoint,0,0,3,0,20/08/23
29,106,26,0,353783484,0,referral,0.24137931,7,3.655172414,190,20/08/23
48,236,45,0,353783484,0,(none),0.479166667,23,4.916666667,1843,21/08/23
1,1,1,0,353783484,0,(not set),0,0,1,50,21/08/23
