sessions,eventcount,totalusers,conversions,property_id,totalrevenue,engagementrate,engagedsessions,eventspersession,userengagementduration,sessiondefaultchannelgrouping,date
11,34,11,0,353783484,0,0,0,3.090909091,0,Unassigned,07/09/23
33,182,26,0,353783484,0,0.666666667,22,5.515151515,2543,Cross-network,08/09/23
41,316,38,0,353783484,0,0.585365854,24,7.707317073,2581,Direct,08/09/23
373,2075,342,0,353783484,0,0.643431635,240,5.563002681,25236,Organic Search,08/09/23
12,47,11,0,353783484,0,0.166666667,2,3.916666667,241,Organic Social,08/09/23
5,123,4,0,353783484,0,0.8,4,24.6,2325,Organic Video,08/09/23
74,618,66,0,353783484,0,0.675675676,50,8.351351351,6326,Paid Search,08/09/23
5,13,5,0,353783484,0,0,0,2.6,112,Unassigned,08/09/23
20,215,16,0,353783484,0,0.7,14,10.75,1338,Cross-network,09/09/23
47,232,44,0,353783484,0,0.595744681,28,4.936170213,2308,Direct,09/09/23
405,2138,375,0,353783484,0,0.664197531,269,5.279012346,24758,Organic Search,09/09/23
12,44,12,0,353783484,0,0.166666667,2,3.666666667,134,Organic Social,09/09/23
101,958,93,0,353783484,0,0.782178218,79,9.485148515,8404,Paid Search,09/09/23
10,31,10,0,353783484,0,0,0,3.1,469,Unassigned,09/09/23
8,56,8,0,353783484,0,0.625,5,7,407,Cross-network,10/09/23
43,256,41,0,353783484,0,0.558139535,24,5.953488372,3525,Direct,10/09/23
377,2115,360,0,353783484,0,0.657824934,248,5.610079576,27892,Organic Search,10/09/23
12,35,12,0,353783484,0,0,0,2.916666667,0,Organic Social,10/09/23
69,771,64,0,353783484,0,0.710144928,49,11.17391304,7965,Paid Search,10/09/23
7,21,7,0,353783484,0,0,0,3,0,Unassigned,10/09/23
40,608,28,0,353783484,0,0.8,32,15.2,4293,Cross-network,11/09/23
66,493,65,0,353783484,0,0.5,33,7.46969697,3797,Direct,11/09/23
459,2539,409,0,353783484,0,0.664488017,305,5.531590414,31563,Organic Search,11/09/23
6,17,6,0,353783484,0,0.166666667,1,2.833333333,0,Organic Social,11/09/23
123,1297,110,0,353783484,0,0.682926829,84,10.54471545,15512,Paid Search,11/09/23
1,7,1,0,353783484,0,1,1,7,11,Referral,11/09/23
7,55,7,0,353783484,0,0.285714286,2,7.857142857,1153,Unassigned,11/09/23
26,417,21,0,353783484,0,0.807692308,21,16.03846154,3804,Cross-network,12/09/23
35,294,31,0,353783484,0,0.571428571,20,8.4,1918,Direct,12/09/23
453,2352,415,0,353783484,0,0.664459161,301,5.19205298,25829,Organic Search,12/09/23
10,47,10,0,353783484,0,0.2,2,4.7,166,Organic Social,12/09/23
1,4,1,0,353783484,0,0,0,4,4,Organic Video,12/09/23
95,694,91,0,353783484,0,0.757894737,72,7.305263158,6568,Paid Search,12/09/23
3,12,3,0,353783484,0,0.666666667,2,4,88,Referral,12/09/23
10,31,10,0,353783484,0,0.1,1,3.1,59,Unassigned,12/09/23
33,450,27,0,353783484,0,0.696969697,23,13.63636364,3482,Cross-network,13/09/23
52,606,47,0,353783484,0,0.692307692,36,11.65384615,5655,Direct,13/09/23
